district,candidate,party,votes_received
Nuwaraeliya,AKMEEMANA DAYARATHANA THERO,IND1,6
Nuwaraeliya,ABUBAKAR MOHAMED INFAS,DUA,2
Nuwaraeliya,SIRIPALA AMARASINGHE,IND2,5
Nuwaraeliya,K.K. PIYADASA,IND4,47
Nuwaraeliya,SARATH KEERTHIRATHNA,IND5,3
Nuwaraeliya,K.A. KULARATNA,IND6,1
Nuwaraeliya,K.R. KRISHAN,APP,10
Nuwaraeliya,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,1
Nuwaraeliya,DILITH JAYAWEERA,SLCP,73
Nuwaraeliya,SIRITUNGA JAYASURIYA,USP,1
Nuwaraeliya,MYLVAGANAM THILAKARAJAH,IND8,16
Nuwaraeliya,AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA,DUNF,17
Nuwaraeliya,LALITH DE SILVA,UNFF,1
Nuwaraeliya,AJANTHA DE ZOYSA,RJA,3
Nuwaraeliya,ANURA KUMARA DISSANAYAKE,NPP,8946
Nuwaraeliya,MAHINDA DEWAGE,SLSP,3
Nuwaraeliya,ARIYANETHIRAN PAKKIYASELVAM,IND9,13
Nuwaraeliya,VICTOR PERERA,IND10,2
Nuwaraeliya,ANURUDDHA POLGAMPALA,IND11,1
Nuwaraeliya,SAJITH PREMADASA,SJB,4334
Nuwaraeliya,SARATH FONSEKA,IND12,13
Nuwaraeliya,DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE,IND13,14
Nuwaraeliya,SARATH BANDARANAYAKE,NDF,1
Nuwaraeliya,BATHTHARAMULLE SEELARATHANA THERO,JSP,4
Nuwaraeliya,NUWAN BOPEGE,SPF,24
Nuwaraeliya,SARATH MANAMENDRA,NSU,1
Nuwaraeliya,PEMASIRI MANAGE,IND14,1
Nuwaraeliya,ANURUDDHA ROSHAN RANASINGHE,IND15,0
Nuwaraeliya,JANAKA RATNAYAKE,ELPP,2
Nuwaraeliya,NAMAL RAJAPAKSHA,SBP,11
Nuwaraeliya,NAMAL RAJAPAKSA,SLPP,308
Nuwaraeliya,WIJEYADASA RAJAPAKSHE,JPF,11
